Date,Gold,Silver,Inflation
2012-08-01,5.06%,13.74%,0.58%
2012-09-01,5.13%,10.03%,0.48%
2012-10-01,-3.03%,-6.46%,0.27%
2012-11-01,-0.38%,2.84%,-0.17%
2012-12-01,-2.11%,-9.13%,-0.01%
2013-01-01,-0.85%,3.85%,0.20%
2013-02-01,-4.99%,-9.38%,0.54%
2013-03-01,1.08%,-0.36%,-0.28%
2013-04-01,-7.69%,-14.66%,-0.21%
2013-05-01,-5.41%,-7.94%,0.04%
2013-06-01,-12.12%,-12.49%,0.24%
2013-07-01,7.24%,0.85%,0.20%
2013-08-01,6.38%,19.61%,0.24%
2013-10-01,-5.19%,-6.95%,0.05%
2013-11-01,-5.52%,-8.48%,0.18%
2014-01-01,-0.84%,-4.38%,0.24%
2014-02-01,6.56%,10.99%,0.11%
2014-03-01,-2.88%,-6.93%,0.20%
2014-04-01,0.95%,-3.12%,0.19%
2014-05-01,-3.86%,-2.44%,0.19%
2014-07-01,2.87%,9.22%,0.11%
2014-08-01,0.35%,-4.79%,-0.02%
2014-09-01,-5.86%,-12.33%,0.01%
2014-10-01,-3.25%,-5.46%,-0.02%
2014-11-01,0.35%,-3.66%,-0.19%
2014-12-01,0.74%,0.49%,-0.31%
2015-01-01,7.99%,10.45%,-0.64%
2015-04-01,-7.52%,-6.21%,0.10%
2015-05-01,0.59%,3.47%,0.33%
2015-06-01,-1.50%,-6.79%,0.28%
2015-07-01,-6.54%,-5.18%,0.16%
2015-08-01,3.35%,-1.15%,-0.00%
2015-09-01,-1.42%,-0.44%,-0.22%
2015-10-01,2.33%,7.26%,0.10%
2015-12-01,-7.11%,-11.51%,-0.11%
2016-01-01,5.29%,3.30%,-0.05%
2016-02-01,10.52%,4.69%,-0.13%
2016-03-01,0.02%,3.79%,0.31%
2016-04-01,4.46%,15.06%,0.38%
2016-06-01,2.26%,4.46%,0.28%
2016-07-01,2.32%,9.31%,-0.05%
2016-08-01,-3.12%,-8.32%,0.18%
2016-09-01,0.49%,2.78%,0.26%
2016-10-01,-3.18%,-7.19%,0.23%
2016-11-01,-7.92%,-7.63%,0.12%
2016-12-01,-1.78%,-2.86%,0.25%
2017-02-01,8.92%,15.59%,0.16%
2017-03-01,-0.42%,-1.00%,-0.05%
2017-04-01,1.51%,-5.73%,0.12%
2017-05-01,0.47%,1.03%,-0.08%
2017-06-01,-2.46%,-4.61%,0.07%
2017-07-01,2.09%,1.10%,0.03%
2017-08-01,3.92%,4.36%,0.38%
2017-09-01,-2.64%,-4.99%,0.51%
2017-11-01,-0.65%,-1.35%,0.27%
2017-12-01,2.60%,4.14%,0.21%
2018-01-01,2.50%,0.84%,0.43%
2018-02-01,-1.76%,-5.12%,0.27%
2018-03-01,0.55%,-0.62%,0.02%
2018-05-01,-1.72%,1.10%,0.23%
2018-06-01,-3.75%,-1.82%,0.09%
2018-08-01,-4.08%,-10.35%,0.18%
2018-09-01,-0.73%,1.28%,0.21%
2018-10-01,1.75%,-2.69%,0.23%
2018-11-01,0.65%,-0.95%,-0.07%
2018-12-01,4.76%,9.50%,0.07%
2019-01-01,3.24%,3.82%,-0.08%
2019-02-01,-0.52%,-3.02%,0.30%
2019-03-01,-1.51%,-3.08%,0.38%
2019-04-01,-0.79%,-1.06%,0.38%
2019-05-01,1.79%,-2.48%,0.02%
2019-06-01,7.96%,4.98%,-0.03%
2019-07-01,1.16%,7.17%,0.23%
2019-08-01,6.52%,11.25%,0.09%
2019-10-01,-0.51%,-0.94%,0.28%
2019-11-01,-3.03%,-5.80%,0.28%
2020-01-01,8.00%,5.91%,0.19%
2020-02-01,-1.19%,-8.82%,0.05%
2020-04-01,7.68%,-9.09%,-0.79%
2020-05-01,3.13%,23.78%,-0.09%
2020-06-01,3.23%,0.55%,0.48%
2020-07-01,9.47%,30.46%,0.51%
2020-08-01,0.24%,17.56%,0.37%
2020-09-01,-4.07%,-17.60%,0.26%
2020-10-01,-0.54%,0.79%,0.12%
2020-12-01,0.84%,11.50%,0.43%
2021-01-01,-2.42%,2.16%,0.24%
2021-02-01,-6.45%,-1.85%,0.34%
2021-03-01,-0.83%,-7.14%,0.52%
2021-04-01,3.12%,5.45%,0.62%
2021-05-01,7.65%,8.28%,0.66%
2021-06-01,-6.92%,-6.53%,0.85%
2021-07-01,2.36%,-2.43%,0.46%
2021-09-01,-3.16%,-13.74%,0.45%
2021-10-01,1.58%,8.74%,0.96%
2021-11-01,-0.53%,-4.93%,0.86%
2021-12-01,3.04%,2.47%,0.69%
2022-01-01,-1.78%,-4.00%,0.60%
2022-02-01,5.82%,8.78%,0.69%
2022-03-01,2.62%,3.12%,1.12%
2022-04-01,-2.05%,-8.28%,0.31%
2022-06-01,-5.51%,-11.97%,1.26%
2022-07-01,-2.28%,-0.62%,-0.01%
2022-08-01,-2.84%,-11.88%,0.06%
2022-09-01,-2.94%,6.74%,0.42%
2022-10-01,-1.59%,0.87%,0.56%
2022-11-01,6.73%,12.68%,0.26%
2022-12-01,4.22%,10.73%,0.02%
2023-02-01,0.51%,-12.16%,0.34%
2023-03-01,7.66%,14.86%,0.12%
2023-04-01,1.07%,3.83%,0.34%
2023-05-01,-1.32%,-6.10%,0.16%
2023-06-01,-2.18%,-2.83%,0.22%
2023-07-01,2.57%,8.96%,0.20%
2023-08-01,-1.64%,-1.54%,0.48%
2023-09-01,-4.65%,-9.14%,0.39%
2023-11-01,10.28%,13.75%,0.15%
2023-12-01,1.19%,-5.69%,0.19%
2024-01-01,-0.68%,-3.36%,0.31%
2024-02-01,-0.13%,-1.67%,0.41%
2024-03-01,8.39%,9.40%,0.44%
2024-04-01,3.34%,6.43%,0.22%
2024-05-01,1.37%,14.80%,0.05%
2024-06-01,0.21%,-3.50%,-0.04%
2024-07-01,4.24%,-1.57%,0.17%
2024-08-01,2.77%,-0.16%,0.16%
2024-10-01,9.80%,13.65%,0.29%
2024-11-01,-2.97%,-6.03%,0.28%
2025-01-01,5.85%,4.70%,0.43%
2025-02-01,0.86%,-2.83%,0.23%
2025-03-01,10.08%,10.37%,0.03%
2025-04-01,5.83%,-5.59%,0.16%
2025-05-01,-0.49%,1.11%,0.10%
2025-07-01,0.13%,11.13%,0.23%
2025-08-01,5.48%,9.98%,0.35%
2025-09-01,10.57%,15.06%,0.30%
2025-10-01,3.68%,3.76%,0.00%
2025-11-01,5.93%,17.61%,0.25%
2025-12-01,2.54%,24.25%,0.30%
2026-01-01,8.98%,11.63%,0.17%
2026-04-01,2.61%,1.86%,
